year,pop,docLu,LUpc
1940,131265000,20,.15236354
1941,132653000,20,.15076929
1942,133824000,14,.10461502
1943,133809000,9,.067260049
1944,133213000,15,.11260162
1945,132522000,17,.12828058
1946,139745000,14,.10018247
1947,142792000,21,.14706707
1948,145251000,43,.29603928
1949,147859000,30,.202896
1950,150431000,26,.17283672
1951,152502000,28,.18360415
1952,154880000,34,.2195248
1953,157432000,43,.27313378
1954,160371000,49,.30554152
1955,163522000,48,.29353848
1956,166547000,57,.34224573
1957,169611000,52,.30658388
1958,172567000,73,.42302409
1959,175529000,85,.48425046
1960,178336000,81,.45419881
1961,181301000,80,.44125515
1962,184021000,86,.46733797
1963,186698000,96,.51419938
1964,189324000,75,.3961463
1965,191688000,81,.42256168
1966,193727000,85,.43876177
1967,195583000,119,.60843736
1968,197515000,123,.62273753
1969,199497000,127,.63660103
1970,201976387,137,.6782971
1971,204958794,131,.63915288
1972,207386509,163,.78597206
1973,209440448,214,1.0217701
1974,211410063,220,1.0406317
1975,213500252,258,1.2084295
1976,215572104,263,1.2200094
1977,217765995,266,1.2214947
1978,220097191,280,1.2721653
1979,222559369,334,1.5007231
1980,225213410,332,1.4741573
1981,227432163,365,1.6048741
1982,229586872,373,1.6246574
1983,231658446,358,1.5453786
1984,233649899,358,1.532207
1985,235716991,374,1.5866485
1986,237898531,404,1.698203
1987,240044779,347,1.4455637
1988,242246761,404,1.6677209
1989,244553306,434,1.7746642
1990,247350712,463,1.8718362
1991,250673124,555,2.2140386
1992,254169310,534,2.1009617
1993,257551017,539,2.0927892
1994,260745738,517,1.9827745
1995,263896610,509,1.9287857
1996,267009583,516,1.9325149
1997,270254581,546,2.0203173
1998,273453709,570,2.0844479
1999,276634876,567,2.049633
2000,279748883,581,2.0768626
2001,282534789,641,2.2687471
2002,285170085,772,2.7071564
2003,287639863,771,2.6804352
2004,290304689,774,2.6661644
2005,292989788,818,2.7919061
2006,295824198,931,3.1471395
2007,298660828,828,2.7723756
2008,301494062,893,2.9619157
2009,304133689,895,2.9427848
2010,306667630,867,2.8271651
